Country,Code,Year,Health_GDP,Health_GDP_2000,Change_since_2000,RollingAvg_5yr
Argentina,ARG,1880,0.0,4.499,-100.0,0.0
Argentina,ARG,1890,0.0,4.499,-100.0,0.0
Argentina,ARG,1900,0.0,4.499,-100.0,0.0
Argentina,ARG,1910,0.0,4.499,-100.0,0.0
Argentina,ARG,1920,0.0,4.499,-100.0,0.0
Argentina,ARG,1930,0.0,4.499,-100.0,0.0
Argentina,ARG,2000,4.499,4.499,0.0,0.8997999999999999
Argentina,ARG,2001,4.594,4.499,2.1115803511891675,1.8186
Argentina,ARG,2002,4.034,4.499,-10.335630140031116,2.6254
Argentina,ARG,2003,3.774,4.499,-16.11469215381195,3.3802
Argentina,ARG,2004,3.746,4.499,-16.737052678372965,4.1293999999999995
Argentina,ARG,2005,3.915,4.499,-12.98066236941542,4.012600000000001
Argentina,ARG,2006,4.019,4.499,-10.66903756390308,3.8975999999999997
Argentina,ARG,2007,4.257,4.499,-5.378973105134475,3.9421999999999997
Argentina,ARG,2008,4.509,4.499,0.22227161591466274,4.0892
Argentina,ARG,2009,5.672,4.499,26.07246054678818,4.4744
Argentina,ARG,2010,5.572,4.499,23.849744387641707,4.8058
Argentina,ARG,2011,5.688,4.499,26.428095132251617,5.1396
Argentina,ARG,2012,6.144,4.499,36.56368081795956,5.517
Argentina,ARG,2013,6.264,4.499,39.23094020893533,5.868
Argentina,ARG,2014,6.361,4.499,41.38697488330741,6.0058
Argentina,ARG,2015,6.853,4.499,52.322738386308075,6.2620000000000005
Argentina,ARG,2016,5.619,4.499,24.894420982440547,6.2482
Argentina,ARG,2017,6.644,4.499,47.67726161369195,6.3482
Argentina,ARG,2018,5.883,4.499,30.76239164258725,6.272
Argentina,ARG,2019,5.857,4.499,30.184485441209176,6.171200000000001
Argentina,ARG,2020,6.644,4.499,47.67726161369195,6.1293999999999995
Argentina,ARG,2021,6.25,4.499,38.91975994665483,6.255599999999999
Australia,AUS,1880,0.0,5.189,-100.0,0.0
Australia,AUS,1890,0.0,5.189,-100.0,0.0
Australia,AUS,1900,0.0,5.189,-100.0,0.0
Australia,AUS,1910,0.38,5.189,-92.67681634226248,0.095
Australia,AUS,1920,0.57,5.189,-89.0152245133937,0.19
Australia,AUS,1930,0.44,5.189,-91.5205241857776,0.27799999999999997
Australia,AUS,1960,1.9194211,5.189,-63.00980728464059,0.6618842199999999
Australia,AUS,1961,2.0928643,5.189,-59.667290422046634,1.08045708
Australia,AUS,1962,2.237511,5.189,-56.87972634418963,1.45195928
Australia,AUS,1963,2.1450713,5.189,-58.6611813451532,1.76697354
Australia,AUS,1964,2.1516094,5.189,-58.53518211601465,2.10929542
Australia,AUS,1965,2.2281218,5.189,-57.06067064945076,2.17103556
Australia,AUS,1966,2.18169,5.189,-57.95548275197533,2.1888007000000003
Australia,AUS,1967,2.0213892,5.189,-61.04472538061283,2.14557634
Australia,AUS,1968,2.1915185,5.189,-57.76607246097514,2.15486578
Australia,AUS,1969,2.306159,5.189,-55.55677394488341,2.1857756999999998
Australia,AUS,1970,2.6216624,5.189,-49.476538832144925,2.2644838199999997
Australia,AUS,1971,2.785,5.189,-46.32877240316053,2.38514582
Australia,AUS,1972,2.762,5.189,-46.772017729813065,2.53326798
Australia,AUS,1973,2.738,5.189,-47.234534592407016,2.6425642799999998
Australia,AUS,1974,3.121,5.189,-39.85353632684525,2.80553248
Australia,AUS,1975,4.2,5.189,-19.05954904605897,3.1212000000000004
Australia,AUS,1976,3.825,5.189,-26.28637502408942,3.3292
Australia,AUS,1977,3.687,5.189,-28.945846984004632,3.5142
Australia,AUS,1978,3.68,5.189,-29.080747735594525,3.7026000000000003
Australia,AUS,1979,3.586,5.189,-30.8922721140875,3.7956000000000003
Australia,AUS,1980,3.663,5.189,-29.40836384659858,3.6882000000000006
Australia,AUS,1981,3.573,5.189,-31.142802081325883,3.6378
Australia,AUS,1982,3.594,5.189,-30.73809982655618,3.6192
Australia,AUS,1983,3.801,5.189,-26.748891886683367,3.6433999999999997
Australia,AUS,1984,4.296,5.189,-17.209481595683172,3.7854
Australia,AUS,1985,4.336,5.189,-16.43862015802659,3.9200000000000004
Australia,AUS,1986,4.4,5.189,-15.205241857776059,4.0854
Australia,AUS,1987,4.273,5.189,-17.652726922335717,4.2212
Australia,AUS,1988,4.129,5.189,-20.42782809789941,4.2868
Australia,AUS,1989,4.116,5.189,-20.6783580651378,4.2508
Australia,AUS,1990,4.28,5.189,-17.517826170745803,4.2396
Australia,AUS,1991,4.465,5.189,-13.952592021584124,4.252599999999999
Australia,AUS,1992,4.496,5.189,-13.355174407400261,4.2972
Australia,AUS,1993,4.494,5.189,-13.393717479283104,4.3702
